ahgfl1	ahgfl2	al26ep	al26ep_err	al26nc	al26nc_err	al26np	al26np_err	alams	alcorr	alprod	alself	alsnow	alstnd	altopo	altots	area	auth	basin	be10ep	be10ep_err	be10nc	be10nc_err	be10np	be10np_err	beams	becorr	beprod	beself	besnow	bestnd	betopo	betots	cntry	dbdoi	dbver	eal_err	eal_gcmyr	eal_mmkyr	ebe_err	ebe_gcmyr	ebe_mmkyr	elev_ave	elev_std	erral_ams	erral_muon	erral_prod	erral_tot	errbe_ams	errbe_muon	errbe_prod	errbe_tot	igsnid	material	projection	pubyear	refdoi	refid	region	sizemax	sizemin	slp_ave	slp_std	smpid1	smpid2	studyid	x_wgs84	y_wgs84
NA	NA			122300.0	13900.0	122300.0	13900.0	LLNL-CAMS	1.0	3.6869195	1.0	1.0	ND	0.9745852	3.582117	70936.398437	Safran	ND	860.0		19440.3	1085.04	21500.0	1200.0	LLNL-CAMS	0.9042	3.6869195	1.0	1.0	KNSTD-Assumed	0.9745852	3.582117	BOL	NA	2017.0	133.43939	0.15870799	598.89806	101.32992	0.13565693	511.91295	2153.179931	1320.71997	0.018311339	0.0082309734	0.029109744	0.035361437	0.0076068971	0.006889835	0.024813671	0.02685243	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	377.167	223.278	S025WTS056	BOL-50	S025	-67.5062103127	-13.9821078954
NA	NA							NA					NA			10994.40039	Safran	ND	150.0		80473.8	3074.28	89000.0	3400.0	LLNL-CAMS	0.9042	3.9939201	1.0	1.0	KNSTD-Assumed	0.97026703	3.8693786	BOL	NA	2017.0				25.534894	0.035090136	132.41561	2286.110107	1179.510009					0.0013497724	0.0016360672	0.00642575	0.006766747	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	404.188	218.654	S025WTS016	BOL-18	S025	-67.8722645877	-15.4966635453
NA	NA							NA					NA			10446.5	Safran	ND	550.0		42406.98	2712.6	46900.0	3000.0	LLNL-CAMS	0.9042	5.8514173	1.0	1.0	KNSTD-Assumed	0.96356625	5.6594237	BOL	NA	2017.0				70.466452	0.095934612	362.0174	3231.149902	969.03601					0.0061733575	0.0033943682	0.017293688	0.01867361	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	449.344	208.22	S025WTS047	BOL-42	S025	-67.2483285712	-16.2623561525
NA	NA							NA					NA			5891.080078	Safran	ND	270.0		68267.1	2893.44	75500.0	3200.0	LLNL-CAMS	0.9042	5.3417636	1.0	1.0	KNSTD-Assumed	0.96317363	5.1703055	BOL	NA	2017.0				39.069125	0.054580885	205.9656	3017.909912	1081.70996					0.0023244369	0.0020529077	0.009877943	0.010353318	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	478.201	212.428	S025WTS013	BOL-15	S025	-68.213418531	-15.3068792564
NA	NA							NA					NA			5440.439941	Safran	ND	500.0		47741.76	2350.92	52800.0	2600.0	LLNL-CAMS	0.9042	7.009461	1.0	1.0	KNSTD-Assumed	0.97188634	6.8358357	BOL	NA	2017.0				72.709044	0.10220456	385.67757	3635.010009	775.447998					0.0050527303	0.0031154044	0.01833074	0.019267897	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	406.511	207.443	S025WTS042	BOL-38a	S025	-67.3982948845	-16.5503371139
NA	NA							NA					NA			5440.439941	Safran	ND			49640.58	1989.24	54900.0	2200.0	LLNL-CAMS	0.9042	7.009461	1.0	1.0	KNSTD-Assumed	0.97188634	6.8358357	BOL	NA	2017.0				69.106373	0.098288906	370.90153	3635.010009	775.447998					0.0039506753	0.002994453	0.017629472	0.018313189	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	406.511	207.443	S025WTS043	BOL-38b	S025	-67.3982948845	-16.5503371139
NA	NA							NA					NA			5393.379882	Safran	ND	310.0		50544.78	3345.54	55900.0	3700.0	LLNL-CAMS	0.9042	2.9181452	1.0	1.0	KNSTD-Assumed	0.96642359	2.8013537	BOL	NA	2017.0				32.26172	0.041366228	156.09898	1692.619995	825.632995					0.0027660504	0.0025329965	0.0076827326	0.0085493559	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	396.634	208.037	S025WTS019	BOL-21	S025	-67.8413309669	-15.5081443843
NA	NA			478300.0	44600.0	478300.0	44600.0	LLNL-CAMS	1.0	5.6912301	1.0	1.0	ND	0.96647286	5.5252999	3259.199951	Safran	ND	260.0		80654.64	2983.86	89200.0	3300.0	LLNL-CAMS	0.9042	5.6912301	1.0	1.0	KNSTD-Assumed	0.96647286	5.5252999	BOL	NA	2017.0	47.468805	0.060803727	229.44803	34.893801	0.049215395	185.71847	3188.169921	950.817016	0.005744736	0.0020571842	0.011000141	0.012579233	0.0018294409	0.0017551806	0.008892517	0.0092468574	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	459.668	207.686	S025WTS011	BOL-13	S025	-68.275998112	-15.2971115884
NA	NA			466600.0	31500.0	466600.0	31500.0	LLNL-CAMS	1.0	6.0488951	1.0	1.0	ND	0.96769003	5.8762056	2958.770019	Safran	ND	280.0		80564.22	2712.6	89100.0	3000.0	LLNL-CAMS	0.9042	6.0488951	1.0	1.0	KNSTD-Assumed	0.96769003	5.8762056	BOL	NA	2017.0	48.802262	0.066113485	249.48485	36.816912	0.052281485	197.28862	3340.879882	841.284973	0.0045015937	0.0021366652	0.011934088	0.012932599	0.0017680076	0.0017802449	0.0094283516	0.0097564818	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	446.518	206.554	S025WTS006	BOL-07	S025	-68.5208303945	-15.3875845153
NA	NA							NA					NA			1774.010009	Safran	ND	930.0		29929.02	2079.66	33100.0	2300.0	LLNL-CAMS	0.9042	4.9531367	1.0	1.0	KNSTD-Assumed	0.95844434	4.7652094	BOL	NA	2017.0				86.260208	0.11533759	435.2362	2654.899902	1452.400024					0.0080672635	0.0046247398	0.020882118	0.022858955	NA	1.0	WGS84_UTM_19S	2005.0	10.1002/esp.1259	Earth_Surf_Proc_Land_30	Bolivian Andes	1000.0	250.0	503.06	211.987	S025WTS018	BOL-20	S025	-67.8687804084	-15.5066236309
